"ID"	"PeakTime"	"Location"	"Truck"	"Bus"	"LocationType"	"Sex"	"Alcohol"	"Speeding"	"Weather"	"Visibility"	"HomeDistance"	"Age"	"Fatal"
"18"	"pm"	"Suburban"	"Y"	"Y"	"Light"	"M"	"N"	"Y"	"Fine"	"Good"	22.8400756846111	40.285702485587	0
"19"	"am"	"City"	"Y"	"Y"	"Stop"	"M"	"Y"	"N"	"Wet"	"Moderate"	20.9119964271043	54.2851880056517	0
"20"	"pm"	"Suburban"	"Y"	"Y"	"Stop"	"M"	"Y"	"Y"	"Fine"	"Good"	15.5758012947793	61.8497840967316	0
"21"	"pm"	"OuterSuburban"	"N"	"Y"	"Light"	"F"	"Y"	"Y"	"Wet"	"Moderate"	21.8395105309374	43.9417006345331	0
"22"	"pm"	"City"	"Y"	"Y"	"Light"	"M"	"Y"	"Y"	"Wet"	"Moderate"	14.8855972994318	69.3926226581821	0
"23"	"am"	"City"	"Y"	"Y"	"Stop"	"F"	"Y"	"N"	"Raining"	"Poor"	10.9036888744645	45.632206894908	0
"24"	"am"	"City"	"Y"	"Y"	"Light"	"F"	"Y"	"Y"	"Fine"	"Good"	20.9858593695713	31.1797823548215	0
"25"	"pm"	"City"	"Y"	"Y"	"Light"	"F"	"Y"	"Y"	"Fine"	"Good"	22.0835625558338	34.2732344899985	0
"26"	"pm"	"Suburban"	"Y"	"Y"	"Light"	"M"	"Y"	"Y"	"Wet"	"Moderate"	29.6831953708726	72.1171307712909	1
"27"	"pm"	"City"	"Y"	"Y"	"Stop"	"F"	"Y"	"Y"	"Wet"	"Moderate"	25.3933510561359	49.6362112273384	0
"28"	"pm"	"OuterSuburban"	"Y"	"Y"	"Light"	"M"	"Y"	"Y"	"Fine"	"Good"	22.4876838862769	42.7361368656534	1
"29"	"am"	"City"	"Y"	"Y"	"Light"	"F"	"Y"	"Y"	"Wet"	"Moderate"	15.8487238409314	47.1137046637152	0
"30"	"pm"	"Suburban"	"Y"	"Y"	"Stop"	"M"	"Y"	"N"	"Raining"	"Poor"	14.0867800330728	45.4112483858982	0
"31"	"pm"	"City"	"N"	"Y"	"Light"	"F"	"N"	"N"	"Fine"	"Good"	14.3694384454925	62.0831633653765	1
"32"	"pm"	"City"	"Y"	"N"	"Stop"	"M"	"N"	"Y"	"Fine"	"Good"	23.0654463342327	59.6155687669269	1
"33"	"pm"	"Suburban"	"Y"	"Y"	"Light"	"M"	"N"	"Y"	"Fine"	"Good"	27.1692176604045	50.6591597521507	0
"34"	"pm"	"City"	"Y"	"Y"	"Light"	"F"	"N"	"Y"	"Fine"	"Good"	38.4156862346295	48.6457645808573	0
"35"	"am"	"City"	"N"	"Y"	"Light"	"M"	"Y"	"N"	"Wet"	"Moderate"	16.2224254008234	57.7092609286073	1
"36"	"pm"	"OuterSuburban"	"Y"	"Y"	"Light"	"M"	"N"	"Y"	"Wet"	"Moderate"	17.7397356906016	44.0611590006185	0
"37"	"pm"	"City"	"Y"	"Y"	"Light"	"M"	"Y"	"N"	"Fine"	"Good"	12.2941919885142	55.9008420114424	0
"38"	"am"	"OuterSuburban"	"Y"	"Y"	"Light"	"M"	"N"	"Y"	"Raining"	"Poor"	33.2057754578887	30.3685491853492	0
"39"	"pm"	"Suburban"	"Y"	"Y"	"Stop"	"F"	"Y"	"Y"	"Wet"	"Moderate"	23.1725906692116	33.4466479699213	0
"40"	"pm"	"City"	"Y"	"N"	"Light"	"M"	"Y"	"Y"	"Fine"	"Good"	17.3729762253618	41.1969227602753	0
"41"	"am"	"Suburban"	"N"	"Y"	"Stop"	"F"	"Y"	"N"	"Raining"	"Poor"	23.8413215869937	41.096543983523	0
"42"	"pm"	"OuterSuburban"	"Y"	"Y"	"Light"	"M"	"Y"	"N"	"Fine"	"Good"	11.3838921589326	53.7250064209668	0
"43"	"pm"	"City"	"N"	"Y"	"Stop"	"F"	"Y"	"N"	"Fine"	"Good"	15.7797466116124	37.3941233627625	1
"44"	"am"	"City"	"N"	"Y"	"Light"	"M"	"N"	"Y"	"Fine"	"Good"	24.4798753235636	36.8361074472172	0
"45"	"am"	"City"	"Y"	"Y"	"Light"	"M"	"N"	"Y"	"Fine"	"Good"	21.3894513242215	34.5107625830633	1
"46"	"pm"	"Suburban"	"Y"	"Y"	"Stop"	"M"	"N"	"N"	"Wet"	"Moderate"	19.9529868329429	60.313383319293	0
"47"	"am"	"City"	"N"	"Y"	"Stop"	"F"	"Y"	"Y"	"Fine"	"Good"	16.8432657250976	50.4283921490311	0
"48"	"pm"	"City"	"Y"	"Y"	"Light"	"F"	"Y"	"N"	"Fine"	"Good"	17.7233981147035	38.2490837653616	0
"49"	"am"	"City"	"Y"	"Y"	"Stop"	"F"	"Y"	"Y"	"Raining"	"Poor"	42.1868201200421	41.1778632031381	1
"50"	"pm"	"OuterSuburban"	"N"	"Y"	"Light"	"M"	"Y"	"Y"	"Wet"	"Moderate"	16.9197595451038	34.1792164536754	0
"51"	"am"	"OuterSuburban"	"Y"	"Y"	"Light"	"M"	"Y"	"Y"	"Wet"	"Moderate"	19.8188087485193	32.86795527501	1
"52"	"am"	"City"	"Y"	"Y"	"Light"	"F"	"N"	"Y"	"Wet"	"Moderate"	14.5460324351977	55.3773841375824	1
"53"	"pm"	"City"	"Y"	"Y"	"GiveWay"	"M"	"N"	"N"	"Fine"	"Good"	13.6288461087793	37.2111300106615	1
"54"	"pm"	"OuterSuburban"	"Y"	"Y"	"Light"	"M"	"Y"	"Y"	"Fine"	"Good"	10.715628880624	61.5958714984035	1
"55"	"pm"	"City"	"Y"	"Y"	"Stop"	"F"	"N"	"Y"	"Fine"	"Good"	17.5246720270108	51.7841183169955	0
"56"	"pm"	"OuterSuburban"	"Y"	"Y"	"Light"	"F"	"Y"	"N"	"Fine"	"Good"	12.0373276546599	41.9441043176912	0
"57"	"pm"	"OuterSuburban"	"Y"	"Y"	"Stop"	"F"	"Y"	"Y"	"Raining"	"Poor"	18.326665017711	61.5861262939617	1
"58"	"am"	"OuterSuburban"	"Y"	"Y"	"Light"	"M"	"N"	"Y"	"Wet"	"Moderate"	15.3071699565883	47.6058818754915	0
"59"	"am"	"Suburban"	"Y"	"Y"	"Light"	"M"	"Y"	"N"	"Wet"	"Moderate"	14.5673289300819	46.8092546486955	0
"60"	"pm"	"City"	"Y"	"Y"	"Stop"	"F"	"N"	"Y"	"Fine"	"Good"	23.1214951905872	46.9549960801412	1
"61"	"pm"	"Suburban"	"Y"	"Y"	"GiveWay"	"M"	"N"	"Y"	"Raining"	"Poor"	20.0537434142476	61.4823315747845	1
"62"	"am"	"OuterSuburban"	"Y"	"Y"	"Stop"	"M"	"Y"	"Y"	"Fine"	"Good"	24.8049590498396	36.3924160437039	1
"63"	"pm"	"City"	"Y"	"Y"	"GiveWay"	"F"	"N"	"N"	"Raining"	"Poor"	20.0525486703829	45.4522582793027	0
"64"	"pm"	"OuterSuburban"	"N"	"Y"	"Stop"	"M"	"N"	"N"	"Wet"	"Moderate"	28.4593951463779	54.933969886948	0
"65"	"pm"	"City"	"Y"	"N"	"Light"	"F"	"N"	"Y"	"Wet"	"Moderate"	19.2814338200733	45.325466731393	0
"66"	"pm"	"City"	"Y"	"Y"	"Light"	"M"	"N"	"N"	"Raining"	"Poor"	22.2784724709731	62.0563703760982	0
"67"	"pm"	"City"	"Y"	"Y"	"Light"	"M"	"N"	"Y"	"Fine"	"Good"	25.5733649686849	50.759877005179	1
"68"	"pm"	"OuterSuburban"	"Y"	"Y"	"Light"	"M"	"Y"	"Y"	"Fine"	"Good"	18.7758029864273	52.2517921183126	0
"69"	"am"	"Suburban"	"Y"	"Y"	"Light"	"M"	"Y"	"Y"	"Wet"	"Moderate"	35.0462702463295	50.764892367241	0
"70"	"pm"	"City"	"Y"	"Y"	"Light"	"F"	"Y"	"N"	"Wet"	"Moderate"	19.899275183988	82.9611784631121	1
"71"	"pm"	"Suburban"	"Y"	"Y"	"Stop"	"F"	"Y"	"Y"	"Raining"	"Poor"	31.5905327926466	60.4668440255478	0
"72"	"pm"	"City"	"N"	"Y"	"Light"	"F"	"Y"	"Y"	"Fine"	"Good"	16.2856818305424	45.3550762921063	1
"73"	"am"	"OuterSuburban"	"Y"	"Y"	"Light"	"M"	"Y"	"Y"	"Fine"	"Good"	14.706280885109	52.2926559645371	1
"74"	"pm"	"City"	"Y"	"Y"	"Light"	"M"	"Y"	"Y"	"Raining"	"Poor"	23.9572840235914	38.524584758404	0
"75"	"pm"	"City"	"Y"	"Y"	"Stop"	"M"	"Y"	"N"	"Wet"	"Moderate"	18.4889556613377	59.8357562158104	0
"76"	"pm"	"City"	"Y"	"N"	"Light"	"F"	"N"	"Y"	"Fine"	"Good"	39.0835005464304	48.2304366263763	1
"77"	"pm"	"Suburban"	"Y"	"Y"	"Light"	"M"	"Y"	"Y"	"Fine"	"Good"	21.5165273266622	46.2218410420526	1
"78"	"pm"	"OuterSuburban"	"Y"	"Y"	"Light"	"F"	"N"	"Y"	"Fine"	"Good"	18.1154931634013	30.0751364703455	0
"79"	"am"	"City"	"Y"	"Y"	"Light"	"M"	"Y"	"Y"	"Wet"	"Moderate"	26.2897002883157	48.6386964310587	0
"80"	"am"	"City"	"Y"	"Y"	"Light"	"M"	"Y"	"Y"	"Fine"	"Good"	24.1099377863106	60.35198135567	1
"81"	"am"	"OuterSuburban"	"N"	"Y"	"Light"	"F"	"N"	"Y"	"Raining"	"Poor"	18.6636937268451	41.2368764258569	0
"82"	"pm"	"Suburban"	"N"	"N"	"Light"	"M"	"Y"	"Y"	"Fine"	"Good"	32.6266386733634	46.4840838959015	0
"83"	"pm"	"Suburban"	"Y"	"Y"	"Stop"	"M"	"Y"	"Y"	"Fine"	"Good"	35.6505262381037	31.3015233060075	0
"84"	"pm"	"OuterSuburban"	"N"	"Y"	"Light"	"F"	"Y"	"Y"	"Wet"	"Moderate"	21.7006496981247	42.4653952267814	0
"85"	"am"	"OuterSuburban"	"Y"	"Y"	"Stop"	"M"	"Y"	"Y"	"Wet"	"Moderate"	10.6848362414629	39.5095108953124	0
"86"	"pm"	"Suburban"	"Y"	"Y"	"Stop"	"F"	"N"	"Y"	"Fine"	"Good"	23.1403710955678	39.4139019798487	0
"87"	"pm"	"City"	"Y"	"Y"	"Light"	"F"	"N"	"Y"	"Wet"	"Moderate"	25.5755557713279	26.8950035227859	1
"88"	"am"	"Suburban"	"Y"	"Y"	"Stop"	"M"	"Y"	"Y"	"Fine"	"Good"	18.7887932625769	58.0863865722106	0
"89"	"pm"	"City"	"Y"	"Y"	"Stop"	"F"	"Y"	"Y"	"Fine"	"Good"	21.3756521521882	32.4443688993379	0
"90"	"am"	"City"	"Y"	"Y"	"Stop"	"F"	"Y"	"Y"	"Fine"	"Good"	19.3005473816183	45.8787215682945	0
"91"	"am"	"City"	"Y"	"Y"	"Light"	"M"	"Y"	"Y"	"Fine"	"Good"	30.4106833453348	34.0585247954909	0
"92"	"am"	"OuterSuburban"	"Y"	"Y"	"Stop"	"M"	"Y"	"Y"	"Fine"	"Good"	15.6258786605775	61.2104903220342	0
"93"	"pm"	"City"	"Y"	"Y"	"Light"	"M"	"N"	"Y"	"Wet"	"Moderate"	18.4404272831658	41.1046056789548	1
"94"	"am"	"City"	"Y"	"N"	"Stop"	"F"	"N"	"Y"	"Fine"	"Good"	30.3627544045134	47.4764881514769	0
"95"	"am"	"City"	"Y"	"Y"	"Light"	"M"	"Y"	"N"	"Fine"	"Good"	30.1721872363457	55.2176471349967	1
"96"	"pm"	"City"	"Y"	"Y"	"Stop"	"M"	"Y"	"Y"	"Fine"	"Good"	23.0534355519934	45.3662304829501	0
"97"	"pm"	"City"	"Y"	"Y"	"Stop"	"F"	"Y"	"Y"	"Fine"	"Good"	13.0433604779847	54.6878475886326	0
"98"	"am"	"City"	"Y"	"Y"	"Light"	"F"	"N"	"Y"	"Wet"	"Moderate"	10.4153703702812	33.5735901069022	1
"99"	"pm"	"City"	"Y"	"Y"	"Light"	"M"	"Y"	"N"	"Wet"	"Moderate"	28.0839516562408	64.1303871461481	0
"100"	"pm"	"City"	"Y"	"Y"	"Stop"	"F"	"N"	"Y"	"Wet"	"Moderate"	18.597758740865	53.9596969554968	0
"101"	"am"	"City"	"N"	"Y"	"Stop"	"F"	"Y"	"N"	"Fine"	"Good"	18.6533699805237	32.7078500293404	1
"102"	"am"	"Suburban"	"Y"	"N"	"Light"	"M"	"Y"	"N"	"Wet"	"Moderate"	27.0202754192344	49.5689374606917	1
"103"	"pm"	"OuterSuburban"	"N"	"Y"	"Light"	"F"	"Y"	"Y"	"Fine"	"Good"	13.16996422086	44.2119543511793	0
"104"	"pm"	"Suburban"	"N"	"Y"	"Light"	"M"	"N"	"N"	"Fine"	"Good"	23.9059532498257	56.5498506989916	0
"105"	"am"	"City"	"Y"	"Y"	"Light"	"M"	"Y"	"Y"	"Fine"	"Good"	9.64214702110822	45.938391188395	0
"106"	"pm"	"OuterSuburban"	"N"	"Y"	"Light"	"M"	"Y"	"Y"	"Fine"	"Good"	21.6392100052736	37.2021570193473	0
"107"	"am"	"City"	"Y"	"Y"	"Light"	"F"	"Y"	"Y"	"Wet"	"Moderate"	19.0482176933814	45.3760215959245	0
"108"	"pm"	"City"	"N"	"Y"	"Light"	"M"	"Y"	"N"	"Raining"	"Poor"	16.2523884407519	74.0817767462217	0
"109"	"am"	"Suburban"	"Y"	"N"	"Stop"	"M"	"Y"	"N"	"Wet"	"Moderate"	28.1361369810616	42.6960702950791	0
"110"	"pm"	"Suburban"	"N"	"Y"	"Light"	"M"	"Y"	"N"	"Wet"	"Moderate"	14.6044138041974	51.6569023487164	1
"111"	"pm"	"OuterSuburban"	"Y"	"Y"	"Light"	"M"	"N"	"Y"	"Raining"	"Poor"	27.6642631459029	49.5444891789715	0
"112"	"pm"	"Suburban"	"Y"	"Y"	"Light"	"M"	"Y"	"N"	"Fine"	"Good"	27.2670991920777	42.2441552971414	0
"113"	"am"	"City"	"Y"	"Y"	"Light"	"F"	"Y"	"Y"	"Fine"	"Good"	26.6707398406093	41.1642780591678	0
"114"	"am"	"City"	"Y"	"Y"	"Stop"	"M"	"N"	"Y"	"Wet"	"Moderate"	18.9702781168938	42.880284164112	1
"115"	"pm"	"OuterSuburban"	"Y"	"Y"	"Light"	"M"	"Y"	"Y"	"Raining"	"Poor"	23.4743645383028	35.834781823235	0
"116"	"pm"	"Suburban"	"Y"	"Y"	"Stop"	"F"	"Y"	"Y"	"Fine"	"Good"	16.0003132259776	44.0815585428767	1
"117"	"pm"	"City"	"N"	"Y"	"Light"	"F"	"N"	"Y"	"Wet"	"Moderate"	20.7068317998966	35.1186620005285	0
"118"	"pm"	"OuterSuburban"	"Y"	"Y"	"Stop"	"F"	"N"	"N"	"Wet"	"Moderate"	28.9508355074589	49.1325694576999	1
"119"	"pm"	"City"	"Y"	"Y"	"Stop"	"M"	"Y"	"Y"	"Wet"	"Moderate"	47.7204933986542	49.2930654065002	0
"120"	"pm"	"City"	"Y"	"Y"	"Stop"	"M"	"Y"	"Y"	"Raining"	"Poor"	16.6808505734118	42.1032944997933	0
"121"	"pm"	"City"	"Y"	"Y"	"Light"	"F"	"N"	"N"	"Fine"	"Good"	20.2874099012663	45.8332814905466	0
"122"	"am"	"OuterSuburban"	"N"	"Y"	"Light"	"F"	"N"	"Y"	"Wet"	"Moderate"	25.4530484369145	51.8694477252301	0
"123"	"am"	"City"	"N"	"Y"	"Stop"	"M"	"Y"	"Y"	"Fine"	"Good"	17.0906788456399	52.5072485268261	0
"124"	"am"	"OuterSuburban"	"Y"	"Y"	"Stop"	"M"	"N"	"Y"	"Raining"	"Poor"	19.7365359853934	43.1568723086023	0
"125"	"pm"	"City"	"Y"	"Y"	"Stop"	"F"	"Y"	"N"	"Fine"	"Good"	23.7594679312066	39.1708280356104	1
"126"	"am"	"City"	"Y"	"Y"	"Light"	"M"	"Y"	"Y"	"Fine"	"Good"	31.8316306969175	48.8917663903627	0
"127"	"pm"	"City"	"Y"	"Y"	"Light"	"M"	"Y"	"Y"	"Fine"	"Good"	21.0291612274812	41.3482016978882	0
"128"	"pm"	"OuterSuburban"	"Y"	"Y"	"Light"	"F"	"Y"	"N"	"Raining"	"Poor"	12.7302225117356	45.8412930379339	0
"129"	"am"	"OuterSuburban"	"Y"	"Y"	"Light"	"M"	"N"	"N"	"Wet"	"Moderate"	21.7490772726209	45.0919129461847	1
"130"	"pm"	"OuterSuburban"	"Y"	"Y"	"Light"	"M"	"N"	"Y"	"Fine"	"Good"	14.0710929892272	66.639090125856	0
"131"	"am"	"OuterSuburban"	"Y"	"Y"	"Light"	"F"	"N"	"Y"	"Wet"	"Moderate"	24.0765828311231	38.335464889111	0
"132"	"am"	"Suburban"	"Y"	"Y"	"Light"	"M"	"Y"	"Y"	"Fine"	"Good"	17.1831617987925	36.5680687259078	0
"133"	"am"	"Suburban"	"Y"	"Y"	"Stop"	"F"	"N"	"N"	"Fine"	"Good"	12.4796637528378	38.8163143464004	0
"134"	"am"	"Suburban"	"Y"	"Y"	"Light"	"M"	"N"	"N"	"Fine"	"Good"	35.2323681803018	34.4344964687881	1
"135"	"am"	"City"	"Y"	"Y"	"Light"	"M"	"Y"	"Y"	"Fine"	"Good"	22.5008822956084	45.9291126023264	0
"136"	"pm"	"Suburban"	"Y"	"Y"	"Light"	"M"	"Y"	"N"	"Raining"	"Poor"	30.3310708685196	60.8447448462214	0
"137"	"am"	"City"	"Y"	"Y"	"GiveWay"	"F"	"Y"	"Y"	"Fine"	"Good"	31.4939782651231	45.8181704065635	0
"138"	"pm"	"City"	"N"	"Y"	"Light"	"F"	"Y"	"Y"	"Fine"	"Good"	15.5300098603644	53.8351445372581	0
"139"	"pm"	"City"	"Y"	"N"	"Stop"	"M"	"N"	"Y"	"Fine"	"Good"	33.8303818823036	49.2849418440857	0
"140"	"pm"	"City"	"Y"	"Y"	"Light"	"F"	"N"	"Y"	"Raining"	"Poor"	18.143736293386	30.4169185274098	1
"141"	"am"	"Suburban"	"Y"	"Y"	"Stop"	"M"	"Y"	"Y"	"Raining"	"Poor"	27.6927421389572	52.6201498599828	0
"142"	"am"	"City"	"Y"	"Y"	"Light"	"F"	"Y"	"Y"	"Raining"	"Poor"	19.5509723047246	35.3720668321666	0
"143"	"pm"	"Suburban"	"Y"	"Y"	"Stop"	"F"	"N"	"N"	"Wet"	"Moderate"	16.160772210328	48.184757590838	0
"144"	"pm"	"OuterSuburban"	"Y"	"Y"	"Light"	"F"	"Y"	"Y"	"Wet"	"Moderate"	16.118169592139	36.5239067880014	0
"145"	"am"	"City"	"Y"	"Y"	"Stop"	"M"	"Y"	"N"	"Wet"	"Moderate"	26.6896272575702	43.7267176988947	0
"146"	"pm"	"City"	"Y"	"Y"	"Stop"	"M"	"Y"	"Y"	"Wet"	"Moderate"	24.7223203725085	60.6717312234654	0
"147"	"am"	"Suburban"	"Y"	"Y"	"Stop"	"M"	"N"	"N"	"Raining"	"Poor"	18.6345133522547	46.7868806861725	0
"148"	"am"	"Suburban"	"Y"	"Y"	"Light"	"M"	"N"	"Y"	"Fine"	"Good"	14.6138742703563	36.9607392054643	1
"149"	"pm"	"OuterSuburban"	"Y"	"Y"	"Stop"	"M"	"Y"	"N"	"Raining"	"Poor"	20.2016240434796	49.4959358074914	0
"150"	"pm"	"City"	"Y"	"Y"	"Light"	"F"	"Y"	"N"	"Wet"	"Moderate"	21.633717140679	41.4599139183479	0
"151"	"am"	"City"	"N"	"Y"	"Light"	"M"	"Y"	"Y"	"Wet"	"Moderate"	16.6382504620366	48.1349368040795	0
"152"	"am"	"City"	"Y"	"Y"	"Light"	"M"	"N"	"N"	"Fine"	"Good"	26.0165058546973	42.0258570663889	1
"153"	"am"	"City"	"Y"	"Y"	"Stop"	"F"	"N"	"N"	"Fine"	"Good"	11.4895200294162	63.8469064524311	1
"154"	"pm"	"OuterSuburban"	"Y"	"Y"	"Stop"	"M"	"Y"	"Y"	"Fine"	"Good"	17.5340870600125	32.6058992214059	0
"155"	"am"	"OuterSuburban"	"Y"	"Y"	"Light"	"M"	"Y"	"N"	"Fine"	"Good"	14.4944941939189	47.8302681511439	1
"156"	"am"	"City"	"Y"	"Y"	"Stop"	"M"	"Y"	"N"	"Fine"	"Good"	17.0368173596829	50.8084895049288	1
"157"	"pm"	"City"	"Y"	"Y"	"GiveWay"	"F"	"N"	"Y"	"Fine"	"Good"	11.087317751139	37.8140290205089	0
"158"	"am"	"City"	"Y"	"Y"	"Stop"	"F"	"N"	"Y"	"Fine"	"Good"	35.0621001561285	37.0908033667892	1
"159"	"pm"	"City"	"Y"	"Y"	"Stop"	"M"	"Y"	"Y"	"Fine"	"Good"	24.5983094907423	60.7445879428962	1
"160"	"am"	"OuterSuburban"	"Y"	"Y"	"Stop"	"M"	"Y"	"Y"	"Wet"	"Moderate"	20.94644686441	41.3039807114807	0
"161"	"am"	"City"	"Y"	"Y"	"Light"	"F"	"N"	"Y"	"Fine"	"Good"	28.0597098224277	30.0470706871431	0
"162"	"pm"	"City"	"Y"	"Y"	"Light"	"F"	"N"	"Y"	"Fine"	"Good"	17.1758698241138	36.5084632187465	0
"163"	"pm"	"OuterSuburban"	"Y"	"Y"	"Stop"	"M"	"Y"	"Y"	"Wet"	"Moderate"	23.2034363035495	34.513475955038	0
"164"	"am"	"City"	"N"	"Y"	"Light"	"F"	"N"	"Y"	"Raining"	"Poor"	30.9142965693491	35.612434262229	1
"165"	"pm"	"Suburban"	"N"	"Y"	"Light"	"M"	"N"	"N"	"Raining"	"Poor"	18.5734597819328	45.6085144187173	0
"166"	"pm"	"Suburban"	"N"	"Y"	"Stop"	"M"	"Y"	"Y"	"Fine"	"Good"	12.068825950862	35.5812390707468	1
"167"	"pm"	"OuterSuburban"	"N"	"Y"	"Stop"	"M"	"N"	"Y"	"Fine"	"Good"	24.1176226275956	49.7125924773086	0
"168"	"pm"	"City"	"Y"	"Y"	"Stop"	"F"	"Y"	"Y"	"Raining"	"Poor"	18.8066100977188	49.611133947685	1
"169"	"pm"	"City"	"Y"	"N"	"Stop"	"M"	"N"	"N"	"Fine"	"Good"	28.9342139377769	47.9443383473754	1
"170"	"pm"	"OuterSuburban"	"Y"	"Y"	"Light"	"M"	"Y"	"Y"	"Fine"	"Good"	20.6467300365899	32.8317095680514	0
"171"	"am"	"Suburban"	"Y"	"Y"	"GiveWay"	"F"	"Y"	"Y"	"Wet"	"Moderate"	16.4603641480923	39.8160981421224	0
"172"	"am"	"Suburban"	"N"	"Y"	"Light"	"F"	"N"	"Y"	"Wet"	"Moderate"	13.5315525098389	37.8461062840312	0
"173"	"pm"	"OuterSuburban"	"Y"	"Y"	"Light"	"M"	"N"	"N"	"Fine"	"Good"	13.4763260608036	37.1030273021074	1
"174"	"pm"	"City"	"Y"	"Y"	"Light"	"F"	"Y"	"Y"	"Wet"	"Moderate"	22.1710293440192	40.1662085562363	0
"175"	"am"	"OuterSuburban"	"Y"	"Y"	"Stop"	"M"	"Y"	"Y"	"Wet"	"Moderate"	26.6952041877017	47.6552812468269	0
"176"	"pm"	"City"	"Y"	"Y"	"Light"	"M"	"N"	"Y"	"Raining"	"Poor"	47.4219554204134	40.2586506630676	0
"177"	"am"	"OuterSuburban"	"Y"	"Y"	"Light"	"M"	"Y"	"Y"	"Raining"	"Poor"	17.989103490085	43.9946313620118	0
"178"	"pm"	"City"	"Y"	"Y"	"Light"	"M"	"N"	"N"	"Fine"	"Good"	21.7190718512999	58.2409642291456	0
"179"	"pm"	"OuterSuburban"	"Y"	"Y"	"Light"	"M"	"Y"	"N"	"Wet"	"Moderate"	17.6833040021281	57.7364588596638	0
"180"	"pm"	"City"	"Y"	"Y"	"Light"	"M"	"Y"	"Y"	"Fine"	"Good"	15.0254727491349	41.6301520891757	0
"181"	"am"	"OuterSuburban"	"Y"	"Y"	"Light"	"F"	"N"	"Y"	"Wet"	"Moderate"	18.5041271230338	41.0720541462	0
"182"	"am"	"City"	"Y"	"Y"	"GiveWay"	"F"	"Y"	"Y"	"Wet"	"Moderate"	13.2524499073202	41.1965301228804	0
"183"	"am"	"OuterSuburban"	"N"	"Y"	"Light"	"M"	"N"	"Y"	"Fine"	"Good"	20.8286409034169	46.6033945180184	0
"184"	"am"	"OuterSuburban"	"Y"	"Y"	"Light"	"M"	"Y"	"N"	"Wet"	"Moderate"	12.838080634169	36.4250058499544	0
"185"	"pm"	"Suburban"	"Y"	"Y"	"Light"	"M"	"N"	"N"	"Wet"	"Moderate"	15.6331991479357	42.7196162624835	1
"186"	"am"	"OuterSuburban"	"Y"	"Y"	"Stop"	"M"	"Y"	"Y"	"Raining"	"Poor"	17.7454616836375	60.26407906117	1
"187"	"pm"	"Suburban"	"Y"	"Y"	"Stop"	"F"	"Y"	"N"	"Fine"	"Good"	17.2916052776204	57.0411378100316	0
"188"	"am"	"Suburban"	"Y"	"Y"	"Light"	"M"	"N"	"N"	"Fine"	"Good"	23.8534640076354	49.7498660278093	0
